No,시설명,대표자,연락처,주소,지도자,시설면적,운동종류,장애종류,강의명,시간,요일,강사명,기간,차량지원,장애 지원시설,수강료,경도,위도,상태
264,대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.596440631855,35.8995808068847,정좌표
265,대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.596440631855,35.8995808068847,정좌표
266,대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.596440631855,35.8995808068847,정좌표
267,대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.596440631855,35.8995808068847,정좌표
268,대연킴스볼링,권성희,02-625-8704,부산광역시 남구 석포로 116 대연킴스볼링장(대연동),3명,2000 ㎡,볼링,"지체, 시각, 청각/언어, 지적/자폐",[12월] 볼링,13:00 ~ 14:30,"월,수,토","이현정,,오태윤,,이주남",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,시각장애인 편의서비스,청각장애인 편의서비스","80,000",129.091161000187,35.12769317901,정좌표
269,대장부 태권도,석태호,053-956-8021,"대구광역시 북구 동북로 345 상가 401동 2층 207호(복현동, 복현푸르지오)",1명,221 ㎡,태권도,"청각/언어, 지적/자폐, 기타",[12월] 태권도,14:00 ~ 19:00,"월,화,수,목,금",석태호,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역","80,000",128.629145549616,35.8916968238714,정좌표
270,대전mma,황진수,02-242-7989,대전광역시 중구 충무로107번길 122 3층 체육관(대흥동),1명,60 ㎡,기타종목,기타,[12월] 주짓수 복싱,14:00 ~ 23:00,"월,화,수,목,금",황진수,2020.12.01 ~ 2020.12.10,미지원,장애인전용 주차구역,"80,000",127.426063239422,36.3233224025806,정좌표
271,대전복싱클럽,,042-624-1848,"대전광역시 대덕구 중리북로 4 (법동, 동아빌딩) 동아빌딩3층",명, ㎡,복싱,"청각/언어, 지적/자폐",[12월] 복싱, ~ ,"월,화,수,목,금",,2020.12.01 ~ 2020.12.31,미지원,,"120,000",127.429503697385,36.3674143972699,정좌표
272,대전시설관리공단 장애인체육센터,설동승,02-724-3570,대전광역시 유성구 덕명로56번길 85 장애인체육센터(덕명동),1명,126 ㎡,헬스,"지체, 청각/언어, 지적/자폐, 기타",[12월] 헬스,09:00 ~ 21:00,"월,화,수,목,금",장석재,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","20,000",127.30734678247,36.3537917729284,정좌표
273,대전시설관리공단 장애인체육센터,설동승,02-724-3570,대전광역시 유성구 덕명로56번길 85 장애인체육센터(덕명동),1명,126 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 기타",[12월] 헬스(보호자 동반),09:00 ~ 21:00,"월,화,수,목,금,토,일",장석재,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","20,000",127.30734678247,36.3537917729284,정좌표
274,대천체육관,백형규,051-365-3040,부산광역시 북구 양달로 70 대광빌딩 5층 대천태권도(화명동),3명,396 ㎡,태권도,"지적/자폐, 기타",[12월] 태권도,14:30 ~ 22:10,"월,화,수,목,금",백형규,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인전용 주차구역,주출입구 단차없음,휠체어 대여","80,000",129.020826685726,35.2439740592343,정좌표
275,대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 수중운동,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000",127.052193231785,37.4982774480245,정좌표
276,대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 심리운동,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000",127.052193231785,37.4982774480245,정좌표
277,대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 특수체육,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000",127.052193231785,37.4982774480245,정좌표
278,대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는 태권도,11:00 ~ 22:00,"화,목",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.559000544542,35.878492368167,정좌표
279,대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는태권도교실,13:00 ~ 22:00,"월,화,수,목,금",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.559000544542,35.878492368167,정좌표
280,대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는태권도교실,13:00 ~ 22:00,"월,수,금",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.559000544542,35.878492368167,정좌표
281,대한공수도(Karate),정일홍,051-744-8890,부산광역시 해운대구 좌동순환로 506 501호(중동),2명,16686 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 공수도(가라데)와 신체활동,07:00 ~ 14:00,"월,화,수,목,금,토","정일홍,,강주성",2020.12.01 ~ 2020.12.10,미지원,,"80,000",129.17811269854,35.1737511552877,인근좌표
282,대한공수도(Karate),정일홍,051-744-8890,부산광역시 해운대구 좌동순환로 506 501호(중동),2명,16686 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 권격도(킥복싱),07:00 ~ 14:00,"월,화,수,목,금,토,일","정일홍,,강주성",2020.12.01 ~ 2020.12.10,미지원,,"80,000",129.17811269854,35.1737511552877,인근좌표
283,대한민국다이어트센타,윤현기,053-201-9800,대구광역시 달서구 성당로 189 2층 헬스장(성당동),1명,198 ㎡,헬스,"지체, 청각/언어, 지적/자폐, 기타","[12월] 헬스,다이어트,건강 ",07:00 ~ 23:00,"월,화,수,목,금","윤현기,관장",2020.12.01 ~ 2020.12.10,미지원,주출입구 단차없음,"80,000",128.57150194049,35.8501140064228,정좌표
284,대한태권도,박미정,053-963-0787,대구광역시 동구 율하동로24길 7 5층(신기동),1명,214 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 태권도,14:00 ~ 21:30,"월,수,금",최병기,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.702994766004,35.8699036844219,정좌표
285,대한태권도,박미정,053-963-0787,대구광역시 동구 율하동로24길 7 5층(신기동),1명,214 ㎡,태권도,"청각/언어, 지적/자폐, 기타",[12월] 태권도,14:00 ~ 21:30,"월,화,수,목,금",최병기,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.702994766004,35.8699036844219,정좌표
286,대한합기도승리관 신흥수련관,최길섭,061-281-0044,"전라남도 목포시 신흥로 13 우성상가 2층 202호(상동, 우성아파트)",1명,34 ㎡,합기도,기타,[12월] 대한합기도승리관신흥수련관,15:00 ~ 23:30,"월,화,수,목,금",최길섭,2020.12.01 ~ 2020.12.10,지원,,"110,000",126.421445150427,34.8033234657082,정좌표
287,더스포츠센터,박성옥,051-521-7100,"부산광역시 해운대구 선수촌로 122 상가동 지하1층(반여동, 아시아선수촌아파트)",5명,1500 ㎡,수영,"지체, 청각/언어, 지적/자폐",[12월] 수영개인레슨,06:00 ~ 22:00,"월,화,수,목,금",김경재,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"400,000",129.12213550997,35.2002238460762,정좌표
288,더스포츠센터,박성옥,051-521-7100,"부산광역시 해운대구 선수촌로 122 상가동 지하1층(반여동, 아시아선수촌아파트)",5명,1500 ㎡,헬스,"청각/언어, 지적/자폐",[12월] 유산소및근력강화 운동,06:00 ~ 12:00,"월,화,수,목,금,토",허종진,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"400,000",129.12213550997,35.2002238460762,정좌표
289,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강 및 체력관리,17:00 ~ 17:50,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
290,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강 및 체력관리,18:00 ~ 18:50,화,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
291,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강관리 및 농구,17:00 ~ 17:50,"화,금",권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
292,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,농구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 농구,17:00 ~ 17:50,목,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
293,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,농구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 농구,18:00 ~ 18:50,목,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
294,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 사회성 및 놀이운동,15:00 ~ 15:40,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
295,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 사회성 및 놀이운동,16:00 ~ 16:50,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
296,더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 특수체육,14:00 ~ 14:50,토,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000",126.772835115397,37.5039907716459,정좌표
297,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,기타종목,"청각/언어, 기타",[12월] 플라잉요가 오전 화 목,11:00 ~ 11:50,"화,목",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
298,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 플라잉요가 저녁 월 수 금,19:00 ~ 19:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
299,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 오전  월 수금,11:00 ~ 11:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
300,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 매일,20:00 ~ 20:50,"월,화,수,목,금","진유경,정서현",2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
301,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 월 수 금,20:00 ~ 20:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
302,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 화 목,19:00 ~ 19:55,"화,목",정서현,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
303,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 화 목,20:00 ~ 20:50,"화,목",정서현,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
304,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스와 플라잉요가(오전),11:00 ~ 11:50,"월,화,수,목,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
305,더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스와 플라잉요가(저녁),19:00 ~ 19:50,"월,화,수,목,금","진유경,정서현",2020.12.01 ~ 2020.12.10,미지원,,"90,000",128.994546870537,35.1967304317152,정좌표
306,더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,필라테스,"지체, 기타",[12월] 릴렉싱 필라테스,10:00 ~ 20:30,"월,화,수,목,금","강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",127.740737944445,37.8570712102919,정좌표
307,더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,지체,[12월] 지체장애)몸과 마음의 회복을 위한 힐링 요가,10:00 ~ 11:00,토,"강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",127.740737944445,37.8570712102919,정좌표
308,더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,기타,[12월] 파킨스환자대상) 회복을 위한 치유요가,13:00 ~ 14:00,토,강현주,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",127.740737944445,37.8570712102919,정좌표
309,더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,"지체, 기타",[12월] 힐링테라피 요가,10:00 ~ 20:30,"월,화,수,목,금","강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",127.740737944445,37.8570712102919,정좌표
310,덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 뉴스포츠,14:00 ~ 22:00,"월,화,수,목,금,토",최주영,2020.12.01 ~ 2020.12.10,미지원,,"80,000",129.022710724097,35.2111523084066,정좌표
311,덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 유도, ~ ,"월,화,수,목,금",,2020.12.01 ~ 2020.12.10,미지원,,"80,000",129.022710724097,35.2111523084066,정좌표
312,덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"시각, 청각/언어",[12월] 전문 시각 청각 유도팀,08:00 ~ 23:00,"월,화,수,목,금,토",최주영,2020.12.01 ~ 2020.12.10,미지원,,"80,000",129.022710724097,35.2111523084066,정좌표
313,도깨비장군활터 (국궁 / 양궁),김현근,02-747-7466,제주시 1100로 2894-63(노형동) 도깨비장군활터,1명,2100 ㎡,기타종목,"지체, 청각/언어, 지적/자폐",[12월] 장애인 양궁 교실,10:00 ~ 18:00,"월,화,수,목,토,일",김현근,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역,주출입구 단차없음","80,000",126.487226257407,33.4511963136807,정좌표
314,도깨비장군활터 (국궁 / 양궁),김현근,02-747-7466,제주시 1100로 2894-63(노형동) 도깨비장군활터,1명,2100 ㎡,기타종목,"지체, 청각/언어, 지적/자폐",[12월] 장애인 전통활쏘기 교실,10:00 ~ 18:00,"월,화,수,목,금,토,일",김현근,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역,주출입구 단차없음","80,000",126.487226257407,33.4511963136807,정좌표
315,도원무술관 2관,박경수,055-325-1202,경상남도 김해시 김해대로2491번길 27 2층 도원무술관 2관(삼정동),1명,40 ㎡,합기도,기타,[12월] 합기도,14:00 ~ 22:30,"월,화,수,목,금",박경수,2020.12.01 ~ 2020.12.10,지원,,"80,000",128.898498282451,35.2303509571534,정좌표
316,도을요가필라테스,김회원,02-261-4560,광주광역시 북구 면앙로 52 (2층) 도을요가필라테스(문흥동),4명,132 ㎡,요가,"청각/언어, 지적/자폐, 기타",[12월] 요가필라테스,09:00 ~ 21:50,"월,화,수,목,금","강연경,,이규리,,최시연",2020.12.01 ~ 2020.12.10,미지원,,"80,000",126.917718797878,35.178942702951,정좌표
317,동광태권도장,김광용,055-333-5735,경상남도 김해시 호계로500번길 3-9(동상동) 1층,1명,165 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 태권도교실,08:00 ~ 09:00,"월,화,수,목,금",김광용,2020.12.01 ~ 2020.12.10,지원,,"130,000",128.884851909308,35.2354465943259,정좌표
318,동구국민체육센터,김종호,062-351-0076,광주광역시 동구 필문대로205번길 17 동구국민체육센터(산수동),3명,3519685 ㎡,수영,"시각, 청각/언어, 지적/자폐",[12월] 검도교실,19:00 ~ 20:00,"월,수,금",김종호,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",126.932741757226,35.1523134409093,정좌표
319,동구국민체육센터,김종호,062-351-0076,광주광역시 동구 필문대로205번길 17 동구국민체육센터(산수동),3명,3519685 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변",[12월] 요가+스트레칭,09:50 ~ 10:40,"월,수,금",정형숙,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",126.932741757226,35.1523134409093,정좌표
320,동구국민체육센터,김종호,062-351-0076,광주광역시 동구 필문대로205번길 17 동구국민체육센터(산수동),3명,3519685 ㎡,수영,"시각, 청각/언어",[12월] 헬스,06:00 ~ 19:00,"월,수,금",양형준,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000",126.932741757226,35.1523134409093,정좌표
321,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,검도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 꿈꾸는작은화랑(검도교실),15:00 ~ 16:00,화,류지은,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
322,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 디딤특수체육,16:00 ~ 16:50,수,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
323,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 멀티스포츠,17:00 ~ 17:50,목,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
324,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 성인풋살,15:00 ~ 16:00,목,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
325,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 스포츠스태킹,16:00 ~ 16:50,금,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
326,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 아동특수체육,14:30 ~ 15:20,수,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
327,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 어울림특수체육,17:00 ~ 17:50,수,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
328,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 플라잉디스크B,10:00 ~ 10:50,금,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
329,동구아름다운복지관,최재천,042-280-9519,대전광역시 동구 안골로 49 동구아름다운복지관(구도동),2명,2765 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 플라잉디스크B,16:10 ~ 17:00,화,서경산,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","20,000",127.472249146021,36.2681154529683,정좌표
330,동래스포츠클럽,장준용,051-503-7612,부산광역시 동래구 미남로 110 (온천동),5명,1821 ㎡,수영,시각,[12월] 08시오전수영(장애인보호자 동반),08:00 ~ 08:50,"월,화,수,목,금",이동민,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","68,000",129.069837884057,35.2035989802738,정좌표
331,동래스포츠클럽,장준용,051-503-7612,부산광역시 동래구 미남로 110 (온천동),5명,1821 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐",[12월] 스피닝_화목,00:00 ~ 00:00,"화,목",,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","68,000",129.069837884057,35.2035989802738,정좌표
332,동래스포츠클럽,장준용,051-503-7612,부산광역시 동래구 미남로 110 (온천동),5명,1821 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐",[12월] 청소년수영,21:00 ~ 21:50,"월,화,수,목,금",,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","68,000",129.069837884057,35.2035989802738,정좌표
